Team,Year,Gold,Silver,Bronze
A North American Team,1900,0,0,3
Algeria,2000,0,0,1
Algeria,1996,0,0,1
Algeria,1992,1,0,0
Algeria,2008,0,1,0
Ali-Baba II,1948,0,0,1
Amateur Athletic Association,1900,1,0,0
Netherlands,1908,0,0,5
Netherlands,1900,2,1,5
Netherlands,1988,0,2,14
Netherlands,2012,4,10,8
Netherlands,1968,1,1,2
Netherlands,2014,2,1,4
Netherlands,1964,2,2,3
Netherlands,1920,1,1,11
Netherlands,2010,0,0,2
Netherlands,1948,4,0,9
Netherlands,2000,9,5,4
Netherlands,1924,3,0,7
Netherlands,2008,8,5,1
Netherlands,1912,0,0,12
Netherlands,2004,1,20,6
Netherlands,1976,0,1,4
Netherlands,1984,5,0,3
Netherlands,1980,1,0,2
Netherlands,1996,10,2,5
Netherlands,1992,0,7,2
Netherlands,1936,1,1,4
Netherlands,1928,3,9,0
Netherlands,1972,1,1,0
Netherlands,2016,1,9,1
Netherlands,2006,1,0,0
Netherlands,1952,0,8,0
Netherlands,1998,0,2,0
Netherlands,2002,0,1,0
Netherlands,1932,0,2,0
Netherlands,1960,0,1,0
Ancora,1920,1,0,0
Angelita,1932,7,0,0
Antwerpia V,1920,0,0,1
Aphrodite,1964,0,0,1
Argentina,2004,7,0,8
Argentina,2008,7,0,6
Argentina,2000,0,6,3
Argentina,1928,1,8,2
Argentina,2012,1,4,3
Argentina,1988,0,0,6
Argentina,1996,0,9,1
Argentina,1948,1,1,1
Argentina,1936,4,1,1
Argentina,1968,0,0,1
Argentina,2016,3,1,0
Argentina,1952,1,0,0
Argentina,1932,0,1,0
Argentina,1924,0,2,0
Argentina,1972,0,1,0
Argonaut Rowing Club,1908,0,0,1
Armenia,2012,0,0,1
Armenia,2008,0,0,2
Armenia,2016,1,1,0
Atlanta,1920,3,0,0
Australasia,1908,4,2,1
Australasia,1912,3,0,0
Australia,2008,5,7,20
Australia,2016,12,12,5
Australia,1956,9,2,6
Australia,1996,6,3,25
Australia,2000,12,13,17
Australia,1964,2,1,11
Australia,1952,2,1,6
Australia,1984,0,4,13
Australia,1992,2,11,3
Australia,1960,3,8,3
Australia,1948,0,2,2
Australia,1906,0,0,2
Australia,2004,14,18,5
Australia,2012,5,15,18
Australia,1920,0,1,1
Australia,1924,3,3,2
Australia,1976,0,5,3
Australia,1994,0,0,1
Australia,1980,2,0,2
Australia,1968,2,8,3
Australia,2006,1,0,1
Australia,1988,10,3,1
Australia,1972,4,3,0
Australia,2002,2,0,0
Australia,2010,1,1,0
Australia,1932,1,0,0
Australia,2014,0,1,0
Australia,1928,0,2,0
Austria,1912,0,2,1
Austria,1988,0,0,2
Austria,2002,1,2,2
Austria,2014,2,2,2
Austria,2006,3,0,1
Austria,1972,0,0,2
Austria,1976,0,0,1
Austria,1980,0,1,1
Austria,1928,1,2,1
Austria,2004,1,0,0
Austria,1948,1,0,0
Austria,1924,2,2,0
Austria,1936,2,5,0
Austria,2010,1,1,0
Austria,1968,0,3,0
Austria,1906,0,1,0
Austria,1992,1,2,0
Austria,1932,0,1,0
Austria,1998,0,2,0
Austria,1994,0,1,0
Austria,1964,1,1,0
Azerbaijan,2016,0,1,3
Azerbaijan,2004,0,0,2
Azerbaijan,2000,1,0,0
Azerbaijan,1996,0,1,0
Azerbaijan,2008,0,1,0
Azerbaijan,2012,0,1,0
Bahamas,2000,4,0,1
Bahamas,2016,0,0,1
Bahamas,2004,0,0,1
Bahamas,2012,1,0,0
Bahamas,2008,0,2,0
Bahamas,1996,0,3,0
Ballerina IV,1960,0,0,1
Barion/Bari-2,1906,0,3,0
Belarus,2000,0,3,4
Belarus,1998,0,0,2
Belarus,2012,1,2,2
Belarus,2008,4,1,2
Belarus,2004,0,2,1
Belarus,1996,0,2,1
Belarus,2010,0,0,1
Belarus,2014,3,0,0
Belarus,2006,0,1,0
Belarus,1900,0,4,0
Belgium,1908,0,4,5
Belgium,1928,0,0,2
Belgium,1920,24,24,24
Belgium,1924,2,16,2
Belgium,1936,0,0,7
Belgium,1912,3,0,5
Belgium,1948,2,0,2
Belgium,2000,0,1,1
Belgium,1906,0,1,5
Belgium,1976,0,0,1
Belgium,2016,0,8,1
Belgium,1996,1,0,0
Belgium,1952,0,1,0
Belgium,2008,0,1,0
Belgium,1992,0,1,0
Belgium,2012,0,1,0
Belgium,1984,0,2,0
Belgium,1900,0,1,0
Bem II,1936,0,0,1
Bera,1924,1,0,0
Bingo,1964,0,0,1
Bissbi,1932,2,0,0
Bluebottle,1956,0,0,1
Bonzo,1924,0,1,0
Boreas-2,1920,0,1,0
Botswana,2012,0,1,0
Brazil,2000,0,5,10
Brazil,1996,1,6,16
Brazil,2008,4,12,10
Brazil,1948,0,0,6
Brazil,1960,0,0,8
Brazil,1964,0,0,3
Brazil,2012,4,10,5
Brazil,1920,0,1,2
Brazil,2004,5,6,2
Brazil,1984,1,13,1
Brazil,1968,0,0,3
Brazil,1976,0,0,3
Brazil,1952,1,0,1
Brazil,2016,10,2,2
Brazil,1988,0,9,2
Brazil,1980,1,0,2
Brazil,1992,4,1,0
Brazil,1956,1,0,0
Brynhild-2,1900,0,1,0
Bucintoro Venezia,1906,6,0,0
Bulgaria,1980,2,12,11
Bulgaria,1972,1,4,3
Bulgaria,1976,0,0,4
Bulgaria,1956,0,1,3
Bulgaria,1988,2,3,2
Bulgaria,2004,1,0,2
Bulgaria,1992,2,1,1
Bulgaria,1996,1,2,1
Bulgaria,2000,1,2,0
Bulgaria,1998,1,0,0
Bulgaria,1960,1,1,0
Bulgaria,2008,1,0,0
Bulgaria,1964,0,1,0
Bulgaria,2016,0,1,0
Bulgaria,1968,0,4,0
Buraddoo,1956,0,0,1
Cameroon,2000,7,0,0
Cameroon,1968,0,1,0
Canada,1984,11,13,6
Canada,2012,0,8,8
Canada,2016,1,1,18
Canada,2000,0,1,8
Canada,1976,0,1,7
Canada,1908,7,3,7
Canada,2008,1,5,5
Canada,1952,4,0,1
Canada,1928,5,1,6
Canada,2006,7,4,2
Canada,1932,3,0,8
Canada,1998,4,7,3
Canada,1992,8,8,6
Canada,1996,4,6,2
Canada,1956,2,2,5
Canada,1968,2,0,7
Canada,1936,1,9,5
Canada,2004,0,3,1
Canada,1964,3,1,1
Canada,1912,0,1,1
Canada,2002,11,2,3
Canada,1972,0,1,3
Canada,2014,12,5,1
Canada,1948,2,1,1
Canada,1988,1,1,2
Canada,2010,13,4,2
Canada,1994,3,6,2
Canada,1920,2,0,0
Canada,1924,2,7,0
Canada,1904,1,0,0
Canada,1960,0,9,0
Canada,1980,0,1,0
Caprice,1932,0,0,1
Carabinier-15,1900,1,0,0
Century Boat Club-1,1904,2,0,0
Cercle de l'Aviron Roubaix-4,1900,4,0,0
Chicago Athletic Association,1904,0,1,0
Chicago Athletic Association-2,1904,0,1,0
Chile,2000,0,0,3
Chile,1956,0,1,1
Chile,1952,0,3,0
Chile,1988,0,1,0
China,1998,0,1,3
China,2002,0,0,2
China,1984,1,0,5
China,1996,2,11,3
China,2016,9,4,8
China,2014,0,1,1
China,2008,12,9,5
China,2012,11,8,4
China,1994,0,0,1
China,1988,2,1,1
China,2000,4,1,0
China,2004,6,1,0
China,1992,3,2,0
Chinese Taipei,2000,0,0,2
Chinese Taipei,2004,2,1,1
Chinese Taipei,2008,0,0,2
Chinese Taipei,1968,0,0,1
Chinese Taipei,1992,0,6,0
Chinese Taipei,1996,0,1,0
Christian Brothers' College-1,1904,0,4,0
Chuckles,1956,0,0,1
Cincinnati Archers,1904,0,2,0
Cobweb-1,1908,2,0,0
Colombia,2012,0,1,1
Colombia,2004,0,0,1
Colombia,2016,1,1,0
Colombia,1972,0,1,0
Colombia,1984,0,1,0
Complex II,1952,1,0,0
Cornwall,1908,0,2,0
Cote d'Ivoire,2016,1,0,0
Crabe II-1,1900,0,1,0
Crabe II-4,1900,0,0,1
Croatia,2012,7,0,6
Croatia,2004,3,1,1
Croatia,2000,0,0,2
Croatia,2010,0,0,1
Croatia,1996,1,1,0
Croatia,2016,1,4,0
Croatia,1992,0,3,0
Cuba,2008,0,10,5
Cuba,1980,2,3,4
Cuba,1992,12,2,1
Cuba,1972,1,1,8
Cuba,2012,0,1,3
Cuba,2016,1,0,3
Cuba,2004,7,3,6
Cuba,1996,9,2,1
Cuba,2000,5,8,1
Cuba,1976,0,3,1
Cuba,1904,2,0,0
Cuba,1968,0,3,0
Cuba,1964,0,1,0
Czech Republic,2004,0,0,2
Czech Republic,2010,0,0,2
Czech Republic,2006,0,1,4
Czech Republic,2012,0,0,1
Czech Republic,2016,0,1,1
Czech Republic,1996,2,0,1
Czech Republic,1998,3,0,0
Czechoslovakia,1964,4,5,6
Czechoslovakia,1952,0,2,4
Czechoslovakia,1992,0,1,3
Czechoslovakia,1976,0,8,2
Czechoslovakia,1972,1,4,4
Czechoslovakia,1988,0,1,1
Czechoslovakia,1928,0,1,1
Czechoslovakia,1980,1,3,1
Czechoslovakia,1984,0,4,1
Czechoslovakia,1968,5,4,1
Czechoslovakia,1932,0,0,1
Czechoslovakia,1924,0,0,1
Czechoslovakia,1960,1,3,0
Czechoslovakia,1936,1,3,0
Czechoslovakia,1948,2,3,0
Czechoslovakia,1956,1,1,0
Denmark,1908,0,5,1
Denmark,2016,2,1,3
Denmark,1912,0,9,4
Denmark,1988,1,0,1
Denmark,2012,0,2,2
Denmark,1906,4,4,1
Denmark,1976,1,0,1
Denmark,1992,1,0,2
Denmark,1948,3,5,3
Denmark,1932,0,0,1
Denmark,1984,0,0,2
Denmark,1968,1,1,1
Denmark,2000,5,0,3
Denmark,1920,4,7,1
Denmark,1996,7,0,0
Denmark,2004,5,0,1
Denmark,2008,3,1,0
Denmark,1980,1,1,0
Denmark,1952,1,0,0
Denmark,1956,1,0,0
Denmark,1960,1,3,0
Denmark,1998,0,1,0
Denmark/Sweden,1900,1,0,0
Devon and Somerset Wanderers,1900,9,0,0
Dominican Republic,2008,1,0,0
Dominican Republic,1908,1,0,0
East Germany,1980,29,16,14
East Germany,1968,2,1,7
East Germany,1976,27,14,13
East Germany,1988,10,14,18
East Germany,1972,6,11,14
East Germany,1984,3,4,0
Edelweiss II-1,1920,3,0,0
Egypt,2004,0,1,1
Egypt,1936,1,0,0
Egypt,1948,1,0,0
Egypt,2012,0,1,0
Elisabeth V,1924,1,0,0
Elisabeth X,1952,0,3,0
Elsie,1920,0,1,0
Elvis Va,2008,1,0,0
