Name,Sex,Age,Height,Weight,Team,Year,Season,City,Sport,Event,Medal
Jos Eustaquio Luis Francisco Escandn y Barrn,M,38,,,A North American Team,1900,Summer,Paris,Polo,Polo Men's Polo,Bronze
Jos Manuel Mara del Corazn de Jess Escandn y Barrn,M,42,,,A North American Team,1900,Summer,Paris,Polo,Polo Men's Polo,Bronze
Jos Pablo Eustaquio Manuel Francisco Escandn y Barrn,M,44,,,A North American Team,1900,Summer,Paris,Polo,Polo Men's Polo,Bronze
Mohamed Allalou,M,26,174,63,Algeria,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Bronze
Mohamed Bahari,M,20,180,75,Algeria,1996,Summer,Atlanta,Boxing,Boxing Men's Middleweight,Bronze
Hassiba Boulmerka,F,24,158,49,Algeria,1992,Summer,Barcelona,Athletics,"Athletics Women's 1,500 metres",Gold
Amar Benikhlef,M,26,186,90,Algeria,2008,Summer,Beijing,Judo,Judo Men's Middleweight,Silver
Karl-Robert Ameln,M,28,,,Ali-Baba II,1948,Summer,London,Sailing,Sailing Mixed 6 metres,Bronze
Charles Bennett,M,29,,,Amateur Athletic Association,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold
Johan Frederik Karel Hendrik Jacob Burk,M,20,,81,Netherlands,1908,Summer,London,Rowing,Rowing Men's Coxless Fours,Bronze
Bernardus Hermanus Croon,M,21,,84,Netherlands,1908,Summer,London,Rowing,Rowing Men's Coxless Fours,Bronze
Robert Henry Schofield Coleman,M,36,,,Ancora,1920,Summer,Antwerpen,Sailing,Sailing Mixed 7 metres,Gold
"John Edward Biby, Jr.",M,20,,,Angelita,1932,Summer,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
"Alphonse Adolph Burnand, Jr.",M,36,,,Angelita,1932,Summer,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Kenneth Anton Carey,M,39,,,Angelita,1932,Summer,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Owen Porter Churchill,M,36,,,Angelita,1932,Summer,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
"William Hunting ""Bill"" Cooper",M,21,,,Angelita,1932,Summer,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Francis Pierpont Davis,M,47,,,Angelita,1932,Summer,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Karl James Dorsey,M,38,,,Angelita,1932,Summer,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
"Guillaume Marie Denis ""Willy"" De L'Arbre",M,37,,,Antwerpia V,1920,Summer,Antwerpen,Sailing,Sailing Mixed 8 metres,Bronze
"Richard Burke ""Dick"" Deaver",M,33,180,77,Aphrodite,1964,Summer,Tokyo,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Mara Magdalena Aicega Amicarelli,F,30,165,60,Argentina,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Bronze
Mara Magdalena Aicega Amicarelli,F,34,165,60,Argentina,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Bronze
Serena Bibiana Amato,F,26,170,63,Argentina,2000,Summer,Sydney,Sailing,Sailing Women's One Person Dinghy,Bronze
Ral Anganuzzi,M,21,,,Argentina,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Team",Bronze
Mariela Andrea Antoniska Arrondo,F,29,170,70,Argentina,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Bronze
Ins Arrondo,F,26,167,58,Argentina,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Bronze
